metric,index,values
train_acc_outer,0,"[0.71773446 0.78365833 0.82544106 0.84401113 0.85793871 0.8551532
 0.84401113 0.82172704 0.79665738 0.76415968 0.73259056 0.72144848
 0.7075209  0.67130917 0.67038071 0.62674093 0.60167134 0.63788301
 0.6174559  0.59888577 0.56545961 0.55431753 0.61281335 0.60352832
 0.57288766 0.50046426 0.49767873 0.5125348  0.52181989 0.53203344
 0.53481895 0.50417829 0.49396473 0.45961002 0.49489322 0.44939646
 0.44753945 0.46796659 0.46889508 0.4911792  0.49489322 0.51439184
 0.49860725 0.48282266 0.43082637 0.47353759 0.46146703 0.46239555
 0.46889508 0.48189417]"
train_acc_outer,1,"[0.70659238 0.76694524 0.80687094 0.81894153 0.8375116  0.8375116
 0.81151348 0.79851437 0.76880223 0.73166203 0.69452184 0.64252555
 0.66573817 0.63881153 0.62395543 0.61095637 0.55246055 0.54688948
 0.56638813 0.54688948 0.55338907 0.49953574 0.57010216 0.51903433
 0.52089137 0.49489322 0.51624882 0.49396473 0.51810586 0.47075209
 0.49025071 0.48189417 0.49767873 0.52089137 0.5273909  0.48932219
 0.48653668 0.50324976 0.14113277 0.45403901 0.49953574 0.52553391
 0.49953574 0.49675024 0.46332404 0.44846797 0.47446612 0.44011143
 0.49767873 0.44196844]"
train_acc_outer,2,"[0.71587741 0.77344477 0.81337047 0.82079852 0.82915509 0.80872792
 0.78180128 0.76601672 0.76137418 0.74651814 0.68430829 0.67316622
 0.62116992 0.61559886 0.51810586 0.60909933 0.55710304 0.58310121
 0.57567316 0.55153203 0.53110492 0.53667593 0.52367687 0.51996285
 0.51439184 0.51532036 0.54688948 0.44661096 0.51160634 0.4698236
 0.51346332 0.50232124 0.46425256 0.50417829 0.13277623 0.3286908
 0.44011143 0.58217269 0.60445684 0.63138348 0.68709379 0.71680593
 0.72794801 0.68337977 0.67409474 0.70194983 0.66573817 0.6499536
 0.59145772 0.54038996]"
train_acc_outer,3,"[0.70937788 0.7650882  0.80965644 0.82079852 0.83844012 0.81894153
 0.79201484 0.79944289 0.77065927 0.73723304 0.70380688 0.67688024
 0.62859797 0.64066851 0.63138348 0.58217269 0.58031571 0.55338907
 0.53574747 0.56174558 0.52553391 0.5301764  0.47818014 0.53760445
 0.51160634 0.45961002 0.48003715 0.49396473 0.45125347 0.47632313
 0.47353759 0.50139278 0.48282266 0.48189417 0.45403901 0.41225627
 0.39461467 0.44661096 0.08820798 0.46796659 0.47539461 0.49025071
 0.47539461 0.45311049 0.44196844 0.42061281 0.37325907 0.40389973
 0.42525533 0.4011142 ]"
train_acc_outer,4,"[0.76601672 0.78737235 0.82822657 0.82915509 0.81244195 0.81151348
 0.81244195 0.78830081 0.77437323 0.76044565 0.74930364 0.722377
 0.70844942 0.69823587 0.66388112 0.65923864 0.64809656 0.60817087
 0.55803156 0.58588672 0.57288766 0.50974929 0.59424329 0.62302691
 0.56917363 0.56638813 0.54317546 0.52553391 0.50417829 0.51996285
 0.50510681 0.50974929 0.48467967 0.53667593 0.4911792  0.48746517
 0.46239555 0.50974929 0.47446612 0.49675024 0.47818014 0.48003715
 0.47353759 0.48375115 0.48560816 0.45682451 0.42061281 0.46425256
 0.42432684 0.47168058]"
train_acc_outer,5,"[0.75766015 0.80872792 0.84401113 0.85793871 0.8495822  0.8402971
 0.80779946 0.78830081 0.7650882  0.74930364 0.72609097 0.69730735
 0.68709379 0.66109562 0.6146704  0.62859797 0.61002785 0.59145772
 0.56267411 0.59888577 0.55338907 0.51067781 0.52274835 0.53760445
 0.54874653 0.4911792  0.53574747 0.50696379 0.53481895 0.48375115
 0.35097492 0.56638813 0.55896008 0.53110492 0.51996285 0.48746517
 0.45682451 0.39090064 0.43825442 0.39182916 0.41039926 0.39554319
 0.39925718 0.38811514 0.36304548 0.42525533 0.33890435 0.37604457
 0.42525533 0.39275765]"
train_acc_outer,6,"[0.69637883 0.7623027  0.81522751 0.84215415 0.85051066 0.85051066
 0.81801301 0.7975859  0.7678737  0.74651814 0.70659238 0.70380688
 0.6898793  0.68430829 0.64345402 0.60817087 0.60817087 0.55803156
 0.58310121 0.53481895 0.53481895 0.51810586 0.54317546 0.51996285
 0.48189417 0.49675024 0.53110492 0.49396473 0.51067781 0.24141133
 0.51810586 0.61652738 0.68430829 0.70287836 0.70566386 0.70009285
 0.66388112 0.61931288 0.64159703 0.60445684 0.60445684 0.57938719
 0.55338907 0.54131848 0.51160634 0.49489322 0.45961002 0.52089137
 0.48467967 0.49860725]"
train_acc_outer,7,"[0.68616527 0.75394613 0.78922933 0.83194059 0.8402971  0.82358402
 0.82915509 0.81151348 0.78830081 0.7623027  0.7474466  0.73351902
 0.71216339 0.6926648  0.67316622 0.65273911 0.64809656 0.62952644
 0.61559886 0.62116992 0.56638813 0.58310121 0.54410398 0.53946149
 0.59145772 0.50789231 0.56731659 0.52181989 0.51996285 0.52089137
 0.50789231 0.51160634 0.49489322 0.52089137 0.53296191 0.52460539
 0.48003715 0.52924794 0.49582171 0.53296191 0.49767873 0.48653668
 0.48282266 0.52460539 0.45589602 0.46146703 0.45775303 0.48467967
 0.46239555 0.08727948]"
train_acc_outer,8,"[0.70937788 0.79944289 0.82451254 0.81708449 0.8347261  0.82636952
 0.80501395 0.77530175 0.74651814 0.72330546 0.71123493 0.68152273
 0.64252555 0.65923864 0.6146704  0.61374187 0.62302691 0.57938719
 0.56638813 0.57845867 0.54688948 0.58867222 0.61281335 0.59702879
 0.56267411 0.54038996 0.54131848 0.52646238 0.4698236  0.48560816
 0.52181989 0.48189417 0.47910863 0.1262767  0.49767873 0.53110492
 0.51624882 0.46796659 0.46796659 0.45682451 0.43454039 0.46425256
 0.42989787 0.41318476 0.47539461 0.42061281 0.41225627 0.3974002
 0.39925718 0.40482822]"
train_acc_outer,9,"[0.77623028 0.79665738 0.82544106 0.83008355 0.8402971  0.83008355
 0.78922933 0.7799443  0.76694524 0.73630452 0.69823587 0.70566386
 0.67038071 0.68895078 0.6053853  0.64902508 0.61002785 0.60352832
 0.57845867 0.55710304 0.52646238 0.54967505 0.56081706 0.55896008
 0.53296191 0.50046426 0.53203344 0.50603527 0.48653668 0.50974929
 0.1624884  0.48003715 0.65645313 0.69080782 0.71773446 0.69823587
 0.69080782 0.66945219 0.632312   0.61374187 0.63788301 0.61374187
 0.58031571 0.56174558 0.58310121 0.55896008 0.58310121 0.54410398
 0.55338907 0.48560816]"
