metric,index,values
train_acc,0,"[0.17177345 0.26926649 0.39368618 0.48375115 0.58402973 0.67409474
 0.71959144 0.75116062 0.77158773 0.78644383 0.80222839 0.81615597
 0.82544106 0.8375116  0.84215415 0.84772515 0.85608172 0.85886723
 0.85979575 0.86350977 0.86815226 0.87465179 0.87650883 0.88393688
 0.88579386 0.89136493 0.89136493 0.8950789  0.89879292 0.90622097
 0.909935   0.91643453 0.91922003 0.92107707 0.92200559 0.92386258
 0.92943358 0.93221915 0.93129063 0.93500465 0.93686163 0.93686163
 0.93779016 0.93871868 0.94150418 0.9424327  0.94428968 0.94521821
 0.94707519 0.94893223 0.94893223 0.94893223 0.94893223 0.94986075
 0.94986075 0.94986075 0.94986075 0.94986075 0.95078921 0.95264626
 0.95450324 0.95543176 0.95636028 0.95728874 0.96007431 0.96100277
 0.96193129 0.96378833 0.96378833 0.96471679 0.96471679 0.96471679
 0.96471679 0.96471679 0.96471679 0.96471679 0.96564531 0.96564531
 0.96564531 0.96564531 0.96564531 0.96564531 0.96657383 0.96657383
 0.9675023  0.9675023  0.9675023  0.96843082 0.96935934 0.96935934
 0.96935934 0.97028786 0.97028786 0.97214484 0.97214484 0.97214484
 0.97214484 0.97214484 0.97307336 0.97400188]"
train_acc,1,"[0.97400188 0.97400188 0.97400188 0.97493035 0.97493035 0.97493035
 0.97585887 0.97585887 0.97678739 0.97678739 0.97678739 0.97678739
 0.97678739 0.97678739 0.97678739 0.97678739 0.97678739 0.97678739
 0.97678739 0.97864437 0.97957289 0.97957289 0.97957289 0.97957289
 0.97957289 0.97957289 0.97957289 0.98050141 0.98050141 0.98050141
 0.98142987 0.98142987 0.9823584  0.98328692 0.98328692 0.98421544
 0.98421544 0.9851439  0.9851439  0.9851439  0.9851439  0.9851439
 0.9851439  0.9851439  0.9851439  0.9851439  0.9851439  0.9851439
 0.9851439  0.9851439  0.9851439  0.9851439  0.9851439  0.9851439
 0.9851439  0.9851439  0.9851439  0.9851439  0.9851439  0.9851439
 0.9851439  0.9851439  0.9851439  0.9851439  0.9851439  0.9851439
 0.9851439  0.9851439  0.9851439  0.9851439  0.9851439  0.9851439
 0.9851439  0.9851439  0.9851439  0.98607242 0.98607242 0.98607242
 0.98607242 0.98607242 0.98607242 0.98607242 0.98607242 0.98607242
 0.98607242 0.98607242 0.98607242 0.98607242 0.98607242 0.98700094
 0.98700094 0.98700094 0.98792946 0.98792946 0.98792946 0.98792946
 0.98792946 0.98792946 0.98792946 0.98792946]"
train_acc,2,"[0.98792946 0.98792946 0.98792946 0.98792946 0.98792946 0.98792946
 0.98792946 0.98885792 0.98885792 0.98885792 0.98885792 0.98885792
 0.99071497 0.99071497 0.99071497 0.99071497 0.99071497 0.99071497
 0.99071497 0.99071497 0.99071497 0.99164343 0.99164343 0.99164343
 0.99164343 0.99164343 0.99164343 0.99164343 0.99257195 0.99257195
 0.99257195 0.99257195 0.99257195 0.99257195 0.99257195 0.99257195
 0.99257195 0.99257195 0.99257195 0.99257195 0.99257195 0.99257195
 0.99257195 0.99257195 0.99257195 0.99257195 0.99257195 0.99257195
 0.99257195 0.99257195 0.99257195 0.99350047 0.99350047 0.99350047
 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047
 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047
 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047
 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047 0.99350047
 0.99350047 0.99350047 0.99350047 0.99350047 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899]"
train_acc,3,"[0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899 0.99442899
 0.99442899 0.99442899 0.99442899 0.99535745 0.99535745 0.99628597
 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597
 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597
 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597
 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597
 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597 0.99628597
 0.99628597 0.9972145  0.9972145  0.9972145 ]"
train_acc,4,"[0.9972145  0.9972145  0.9972145  0.9972145  0.9972145  0.9972145
 0.9972145  0.9972145  0.9972145  0.9972145  0.9972145  0.9972145
 0.9972145  0.9972145  0.9972145  0.9972145  0.9972145  0.9972145
 0.9972145  0.9972145  0.9972145  0.9972145  0.9972145  0.9972145
 0.9972145  0.9972145  0.9972145  0.9972145  0.9972145  0.9972145
 0.9972145  0.9972145  0.9972145  0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302]"
train_acc,5,"[0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302
 0.99814302 0.99814302 0.99814302 0.99814302 0.99814302 0.99907148
 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148
 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148
 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148
 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148
 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148
 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148 0.99907148
 0.99907148 0.99907148 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
train_acc,6,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
train_acc,7,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
train_acc,8,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
train_acc,9,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
