metric,index,values
train_acc_outer,0,"[0.84122562 0.83936864 0.81151348 0.80037141 0.80037141 0.78830081
 0.77344477 0.76415968 0.7474466  0.73909009 0.72144848 0.72794801
 0.71402043 0.70659238 0.69545031 0.68059427 0.67595172 0.67223769
 0.65738159 0.632312   0.60817087 0.59331477 0.56917363 0.56545961
 0.54131848 0.51717734 0.50603527 0.49210772 0.48467967 0.48467967
 0.47725162 0.45403901 0.45032498 0.42525533 0.4159703  0.39090064
 0.3797586  0.34261838 0.3286908  0.31197771 0.31569174 0.30547819
 0.29805014 0.28597957 0.27576602 0.28319407 0.28505108 0.28040853
 0.26462397 0.26555246]"
train_acc_outer,1,"[0.75487465 0.73537606 0.72330546 0.67223769 0.68616527 0.67688024
 0.68337977 0.67688024 0.66295266 0.66666669 0.68245125 0.67688024
 0.66759515 0.66852367 0.67130917 0.65923864 0.65738159 0.64716804
 0.64902508 0.63788301 0.63324046 0.62581247 0.6174559  0.59517175
 0.58588672 0.56453109 0.52367687 0.5125348  0.50046426 0.48375115
 0.47725162 0.46703807 0.45961002 0.44661096 0.44196844 0.42711234
 0.41968432 0.40854225 0.39275765 0.37604457 0.363974   0.34818941
 0.35004643 0.34540391 0.33333334 0.32590529 0.32404828 0.31569174
 0.30083567 0.30269265]"
train_acc_outer,2,"[0.76973075 0.75858867 0.73444754 0.74094707 0.72516251 0.70937788
 0.70659238 0.70194983 0.71587741 0.71494895 0.69730735 0.68523675
 0.67316622 0.66666669 0.67223769 0.65459609 0.66480964 0.64902508
 0.62488395 0.6174559  0.60724235 0.59795731 0.58402973 0.56824511
 0.53574747 0.51996285 0.49396473 0.47818014 0.4549675  0.41782731
 0.40575674 0.4001857  0.37233055 0.37047353 0.35933149 0.3463324
 0.33611885 0.31847724 0.30454966 0.28412256 0.28040853 0.26926649
 0.25998142 0.25348189 0.2376973  0.21541318 0.21262766 0.21169916
 0.19962859 0.1987001 ]"
train_acc_outer,3,"[0.79944289 0.77901578 0.79108638 0.78458679 0.78458679 0.77251625
 0.75766015 0.75116062 0.73816156 0.73444754 0.72609097 0.72144848
 0.71866298 0.71402043 0.71959144 0.71959144 0.70566386 0.68895078
 0.68523675 0.67316622 0.65923864 0.65552461 0.65181059 0.6350975
 0.62952644 0.62116992 0.60817087 0.60909933 0.59145772 0.58681524
 0.56638813 0.54781801 0.542247   0.53110492 0.50696379 0.49489322
 0.47353759 0.46332404 0.43732589 0.4159703  0.40854225 0.40761375
 0.39090064 0.37233055 0.35561746 0.33797586 0.32776231 0.32219127
 0.31940576 0.31104922]"
train_acc_outer,4,"[0.81522751 0.79851437 0.78458679 0.75766015 0.74094707 0.73259056
 0.71680593 0.71216339 0.70844942 0.6926648  0.68245125 0.68245125
 0.68523675 0.67688024 0.66852367 0.66480964 0.65366757 0.63045496
 0.61188489 0.5998143  0.59331477 0.59145772 0.58774376 0.56824511
 0.55431753 0.54038996 0.52274835 0.51346332 0.48746517 0.46889508
 0.46889508 0.45311049 0.43732589 0.42246982 0.41039926 0.39647168
 0.36954504 0.363974   0.35376045 0.35376045 0.34726092 0.33147633
 0.30454966 0.30269265 0.31290624 0.30269265 0.29897866 0.29155061
 0.27669454 0.26926649]"
train_acc_outer,5,"[0.77065927 0.74930364 0.73351902 0.722377   0.71587741 0.71030641
 0.70380688 0.70102137 0.71216339 0.71030641 0.70380688 0.70844942
 0.69823587 0.70102137 0.70194983 0.69823587 0.68616527 0.6778087
 0.67688024 0.66573817 0.66388112 0.66295266 0.64345402 0.62116992
 0.6146704  0.61559886 0.61374187 0.6053853  0.58774376 0.57938719
 0.56453109 0.55524606 0.5450325  0.53481895 0.52089137 0.50417829
 0.48839369 0.46053854 0.42525533 0.41689879 0.40575674 0.39832869
 0.38532963 0.36768803 0.33797586 0.3286908  0.3101207  0.30640668
 0.29897866 0.29433611]"
train_acc_outer,6,"[0.75301766 0.73166203 0.72516251 0.71773446 0.72516251 0.72144848
 0.71773446 0.71402043 0.70194983 0.69545031 0.68616527 0.69173628
 0.6778087  0.65738159 0.63973999 0.632312   0.61095637 0.61281335
 0.5998143  0.59331477 0.58588672 0.57845867 0.56174558 0.53760445
 0.50882077 0.48746517 0.47632313 0.45589602 0.43546888 0.41968432
 0.4011142  0.39554319 0.39182916 0.36211699 0.34818941 0.33890435
 0.32961932 0.34076136 0.32404828 0.31476322 0.28597957 0.29340762
 0.29433611 0.28505108 0.27576602 0.27483752 0.27205199 0.26833797
 0.2376973  0.25348189]"
train_acc_outer,7,"[0.79294336 0.76601672 0.73630452 0.71494895 0.72144848 0.72051996
 0.71123493 0.71216339 0.70659238 0.70009285 0.69359332 0.69730735
 0.68430829 0.68245125 0.67316622 0.66388112 0.66759515 0.65552461
 0.63138348 0.62766945 0.61095637 0.58774376 0.56638813 0.55338907
 0.55338907 0.54688948 0.53760445 0.52553391 0.51810586 0.51532036
 0.48375115 0.47446612 0.45589602 0.44289693 0.44289693 0.42618385
 0.41968432 0.40575674 0.38811514 0.36304548 0.35190344 0.34540391
 0.33333334 0.3286908  0.30826369 0.29433611 0.28226554 0.27205199
 0.26090994 0.26648095]"
train_acc_outer,8,"[0.7799443  0.71123493 0.71680593 0.68802226 0.68523675 0.68616527
 0.67595172 0.68616527 0.68059427 0.67316622 0.67130917 0.66202414
 0.66388112 0.64902508 0.65366757 0.65459609 0.63695449 0.64809656
 0.64066851 0.63416898 0.61188489 0.60445684 0.61002785 0.61095637
 0.59702879 0.57195914 0.54874653 0.54688948 0.52274835 0.50882077
 0.50324976 0.47446612 0.45682451 0.45032498 0.4363974  0.41689879
 0.39647168 0.3825441  0.3797586  0.37511605 0.37233055 0.36583102
 0.35654595 0.33426183 0.33147633 0.33333334 0.31940576 0.3073352
 0.29526463 0.27948004]"
train_acc_outer,9,"[0.80594242 0.74930364 0.72701949 0.70102137 0.6898793  0.69080782
 0.67873722 0.67223769 0.66388112 0.66109562 0.66295266 0.66202414
 0.66016716 0.66202414 0.66016716 0.64809656 0.62952644 0.63138348
 0.61095637 0.59145772 0.55431753 0.54317546 0.52367687 0.50417829
 0.4911792  0.48560816 0.4726091  0.45403901 0.45125347 0.44753945
 0.41782731 0.40761375 0.40204272 0.38997215 0.3825441  0.37697306
 0.37233055 0.36304548 0.35468894 0.35840297 0.34726092 0.33890435
 0.32961932 0.32683378 0.31476322 0.31383473 0.31940576 0.31290624
 0.31290624 0.30640668]"
val_acc_outer,0,"[0.85833335 0.86666667 0.85833335 0.85555553 0.85277778 0.85555553
 0.85555553 0.85000002 0.82222223 0.81666666 0.81944442 0.83055556
 0.82499999 0.81111109 0.80555558 0.77777779 0.77777779 0.78055555
 0.7638889  0.75833333 0.75       0.73333335 0.70555556 0.70555556
 0.68611109 0.66388887 0.6388889  0.625      0.61944443 0.625
 0.62222224 0.59444445 0.59444445 0.56666666 0.56111109 0.53611112
 0.52222222 0.49166667 0.46388888 0.45833334 0.46944445 0.44999999
 0.43333334 0.41666666 0.4138889  0.40555555 0.42222223 0.41666666
 0.40000001 0.40000001]"
val_acc_outer,1,"[0.76666665 0.74722224 0.75277776 0.72500002 0.73888886 0.74166667
 0.74722224 0.74722224 0.74444443 0.75       0.7638889  0.76111114
 0.7638889  0.75       0.75555557 0.75       0.75555557 0.75555557
 0.74722224 0.74722224 0.74722224 0.74444443 0.73888886 0.71944445
 0.71388888 0.69444442 0.66666669 0.64722222 0.63333333 0.60555553
 0.60000002 0.59166664 0.56944442 0.56111109 0.56111109 0.56388891
 0.55277777 0.54444444 0.54166669 0.51944447 0.50277776 0.48055556
 0.4861111  0.4861111  0.48055556 0.47499999 0.47777778 0.45277777
 0.43888888 0.42500001]"
val_acc_outer,2,"[0.80555558 0.79444444 0.77222222 0.78333336 0.78611112 0.78055555
 0.76944447 0.77499998 0.78888887 0.7972222  0.78055555 0.76944447
 0.75833333 0.75833333 0.75555557 0.75       0.7638889  0.75277776
 0.75       0.73888886 0.72777778 0.71388888 0.70833331 0.69166666
 0.68611109 0.68333334 0.65277779 0.6388889  0.61388886 0.57222223
 0.56111109 0.55000001 0.5138889  0.51111114 0.50277776 0.49444443
 0.48333332 0.47499999 0.45833334 0.44722223 0.45277777 0.43888888
 0.43055555 0.41666666 0.38055557 0.36666667 0.36388889 0.35555556
 0.34166667 0.34722221]"
val_acc_outer,3,"[0.83055556 0.81388891 0.83055556 0.81944442 0.82222223 0.82222223
 0.81388891 0.82222223 0.81111109 0.81111109 0.81388891 0.81944442
 0.80555558 0.79166669 0.78888887 0.78888887 0.78611112 0.77777779
 0.77777779 0.77499998 0.76666665 0.76111114 0.75277776 0.75
 0.76666665 0.76111114 0.74444443 0.75       0.73055553 0.73333335
 0.70833331 0.67777777 0.66944444 0.66666669 0.64444447 0.64166665
 0.61388886 0.60277778 0.58055556 0.5472222  0.55277777 0.55277777
 0.54166669 0.51111114 0.48333332 0.46944445 0.45277777 0.45277777
 0.45833334 0.44999999]"
val_acc_outer,4,"[0.84444445 0.85000002 0.83888888 0.83888888 0.82222223 0.80833334
 0.79444444 0.7972222  0.78333336 0.78333336 0.78055555 0.77777779
 0.78888887 0.77499998 0.7638889  0.74722224 0.74166667 0.73333335
 0.72500002 0.71388888 0.72222221 0.72500002 0.72222221 0.71944445
 0.69999999 0.69722223 0.6722222  0.65555555 0.625      0.6111111
 0.60555553 0.58888888 0.56388891 0.56111109 0.56111109 0.55277777
 0.52222222 0.51111114 0.51666665 0.51944447 0.49166667 0.48888889
 0.46666667 0.44444445 0.43055555 0.45555556 0.42500001 0.42777777
 0.40000001 0.39166668]"
val_acc_outer,5,"[0.78055555 0.77777779 0.76111114 0.76111114 0.75833333 0.75277776
 0.74166667 0.74166667 0.76111114 0.75833333 0.76111114 0.76111114
 0.76944447 0.77499998 0.76944447 0.76666665 0.75555557 0.75555557
 0.75555557 0.75       0.74444443 0.75277776 0.74444443 0.74166667
 0.74166667 0.73055553 0.73055553 0.72777778 0.71666664 0.71111113
 0.70555556 0.69999999 0.68888891 0.68333334 0.68055558 0.6722222
 0.64722222 0.625      0.5777778  0.56666666 0.5472222  0.54166669
 0.51944447 0.50277776 0.47222221 0.46388888 0.44999999 0.44166666
 0.43888888 0.43611112]"
val_acc_outer,6,"[0.77222222 0.76944447 0.78055555 0.78611112 0.78333336 0.78611112
 0.78055555 0.77499998 0.76944447 0.7638889  0.75833333 0.76666665
 0.76111114 0.75       0.73888886 0.7361111  0.71944445 0.72500002
 0.71388888 0.70555556 0.69999999 0.68611109 0.67500001 0.66944444
 0.6388889  0.61388886 0.60277778 0.57222223 0.56111109 0.53333336
 0.51666665 0.50833333 0.50833333 0.48055556 0.45555556 0.44999999
 0.43888888 0.46388888 0.45555556 0.43611112 0.43055555 0.41666666
 0.40277779 0.41944444 0.41111112 0.40000001 0.39444444 0.37777779
 0.32499999 0.35833332]"
val_acc_outer,7,"[0.81388891 0.81388891 0.80833334 0.80000001 0.7972222  0.7972222
 0.78055555 0.78055555 0.77499998 0.76944447 0.76944447 0.76944447
 0.76111114 0.75555557 0.76666665 0.7638889  0.76944447 0.75833333
 0.75277776 0.75       0.73888886 0.72222221 0.69444442 0.67500001
 0.68888891 0.66944444 0.66388887 0.64722222 0.64722222 0.65555555
 0.62222224 0.61666667 0.58611113 0.58333331 0.58611113 0.56944442
 0.55277777 0.54166669 0.52499998 0.50555557 0.49722221 0.47777778
 0.45833334 0.45277777 0.44444445 0.42777777 0.40555555 0.41666666
 0.38055557 0.40555555]"
val_acc_outer,8,"[0.80277777 0.76944447 0.7638889  0.75       0.76666665 0.75833333
 0.74722224 0.74444443 0.75       0.74444443 0.75       0.74722224
 0.74722224 0.73888886 0.74444443 0.75       0.74444443 0.75
 0.75       0.75       0.72777778 0.72777778 0.7361111  0.74722224
 0.72222221 0.70833331 0.69999999 0.68611109 0.68333334 0.66944444
 0.66666669 0.65277779 0.63333333 0.62777776 0.625      0.59166664
 0.57222223 0.55277777 0.54444444 0.55000001 0.54444444 0.52499998
 0.52222222 0.49444443 0.4861111  0.48055556 0.46944445 0.45833334
 0.44166666 0.42777777]"
